emp_id,status,turnover,location,level,date_of_joining,date_of_birth,last_working_date,gender,department,mgr_id,cutoff_date,generation,emp_age
E11061,Inactive,1,New York,Analyst,22/03/2012,22/03/1992,11/09/2014,Male,Customer Operations,E1712,31/12/2014,Millennials,22.5
E1031,Inactive,1,New York,Analyst,09/03/2012,10/01/1992,05/06/2014,Female,Customer Operations,E10524,31/12/2014,Millennials,22.4
E6213,Inactive,1,New York,Analyst,06/01/2012,06/02/1992,30/04/2014,Female,Customer Operations,E4443,31/12/2014,Millennials,22.2
E5900,Inactive,1,New York,Analyst,22/03/2012,19/12/1991,09/04/2014,Female,Customer Operations,E3638,31/12/2014,Millennials,22.3
E3044,Inactive,1,Florida,Analyst,29/03/2012,10/12/1991,23/01/2014,Female,Customer Operations,E3312,31/12/2014,Millennials,22.1
E4008,Active,0,Florida,Assistant Manager,27/11/2013,06/05/1992,NA,Female,Customer Operations,E13933,31/12/2014,Millennials,23
E6636,Active,0,New York,Specialist,17/02/2012,23/01/1992,NA,Male,Customer Operations,E12038,31/12/2014,Millennials,23
E13796,Inactive,1,New York,Analyst,30/03/2012,19/12/1990,11/05/2014,Male,Customer Operations,E10524,31/12/2014,Millennials,23.4
E13549,Active,0,New York,Analyst,09/03/2012,22/12/1991,NA,Male,Customer Operations,E10524,31/12/2014,Millennials,23
E13430,Inactive,1,New York,Analyst,09/03/2012,19/08/1991,16/10/2014,Female,Customer Operations,E12897,31/12/2014,Millennials,23.2
E13349,Active,0,New York,Analyst,09/03/2012,23/11/1991,NA,Male,Customer Operations,E10774,31/12/2014,Millennials,23.1
E206,Inactive,1,Florida,Analyst,01/02/2012,24/02/1991,22/05/2014,Female,Customer Operations,E9575,31/12/2014,Millennials,23.3
E13125,Inactive,1,New York,Analyst,04/07/2012,20/04/1991,02/10/2014,Female,Customer Operations,E6655,31/12/2014,Millennials,23.5
E391,Active,0,New York,Analyst,18/04/2012,04/02/1992,NA,Female,Customer Operations,E4030,31/12/2014,Millennials,22.9
E475,Inactive,1,New York,Analyst,15/07/2011,02/06/1991,16/04/2014,Female,Customer Operations,E11816,31/12/2014,Millennials,22.9
E729,Active,0,New York,Analyst,22/03/2012,24/01/1992,NA,Male,Customer Operations,E1475,31/12/2014,Millennials,23
E11598,Inactive,1,Florida,Analyst,26/07/2012,02/02/1991,13/03/2014,Male,Customer Operations,E11139,31/12/2014,Millennials,23.1
E10605,Active,0,New York,Analyst,22/03/2012,16/02/1992,NA,Male,Customer Operations,E6655,31/12/2014,Millennials,22.9
E1119,Inactive,1,New York,Analyst,30/03/2012,24/06/1991,01/09/2014,Female,Customer Operations,E11704,31/12/2014,Millennials,23.2
E9776,Inactive,1,Florida,Analyst,16/05/2012,17/06/1991,25/11/2014,Male,Customer Operations,E7308,31/12/2014,Millennials,23.5
E9761,Active,0,New York,Analyst,02/05/2012,18/09/1991,NA,Male,Customer Operations,E10774,31/12/2014,Millennials,23.3
E9596,Active,0,New York,Analyst,22/03/2012,07/11/1991,NA,Female,Customer Operations,E11266,31/12/2014,Millennials,23.2
E1581,Inactive,1,Chicago,Analyst,22/08/2012,27/08/1991,01/05/2014,Male,Customer Operations,E10984,31/12/2014,Millennials,22.7
E8942,Active,0,New York,Analyst,22/03/2012,18/03/1992,NA,Male,Customer Operations,E667,31/12/2014,Millennials,22.8
E8311,Inactive,1,Chicago,Analyst,11/01/2012,12/01/1991,16/03/2014,Male,Customer Operations,E9260,31/12/2014,Millennials,23.2
E8240,Inactive,1,New York,Analyst,17/08/2011,06/12/1990,28/04/2014,Female,Customer Operations,E13850,31/12/2014,Millennials,23.4
E8165,Active,0,New York,Analyst,18/07/2012,24/09/1991,NA,Female,Customer Operations,E11147,31/12/2014,Millennials,23.3
E1856,Active,0,New York,Analyst,04/07/2012,18/02/1992,NA,Female,Customer Operations,E73,31/12/2014,Millennials,22.9
E8085,Inactive,1,New York,Analyst,09/03/2012,24/08/1991,30/10/2014,Female,Customer Operations,E11655,31/12/2014,Millennials,23.2
E7722,Active,0,New York,Analyst,09/03/2012,26/01/1992,NA,Female,Customer Operations,E6655,31/12/2014,Millennials,23
E7700,Active,0,New York,Analyst,04/07/2012,22/07/1991,NA,Male,Customer Operations,E12073,31/12/2014,Millennials,23.5
E1985,Active,0,New York,Analyst,22/03/2012,11/08/1991,NA,Female,Customer Operations,E6655,31/12/2014,Millennials,23.4
E7242,Active,0,New York,Analyst,27/07/2012,29/10/1991,NA,Female,Customer Operations,E3606,31/12/2014,Millennials,23.2
E7113,Inactive,1,New York,Analyst,09/03/2012,23/11/1991,25/08/2014,Female,Customer Operations,E8163,31/12/2014,Millennials,22.8
E6546,Active,0,Florida,Analyst,26/01/2011,12/08/1991,NA,Male,Customer Operations,E1149,31/12/2014,Millennials,23.4
E6209,Inactive,1,Florida,Analyst,26/07/2012,29/05/1991,13/03/2014,Male,Customer Operations,E4115,31/12/2014,Millennials,22.8
E6087,Active,0,New York,Analyst,18/07/2012,14/09/1991,NA,Female,Customer Operations,E1475,31/12/2014,Millennials,23.3
E6032,Active,0,New York,Analyst,18/04/2012,10/11/1991,NA,Male,Customer Operations,E10524,31/12/2014,Millennials,23.2
E5754,Active,0,New York,Analyst,18/04/2012,01/08/1991,NA,Female,Customer Operations,E1475,31/12/2014,Millennials,23.4
E5400,Inactive,1,Florida,Analyst,19/09/2012,09/10/1991,13/11/2014,Male,Customer Operations,E12279,31/12/2014,Millennials,23.1
E5378,Inactive,1,Chicago,Analyst,26/10/2011,25/10/1990,02/03/2014,Female,Customer Operations,E10988,31/12/2014,Millennials,23.4
E4575,Inactive,1,New York,Analyst,17/02/2012,22/07/1991,11/09/2014,Female,Customer Operations,E4588,31/12/2014,Millennials,23.2
